metric_key,metric_label,mean_value
hit_at_k,Hit@K,0.730000
recall_at_k,Recall@K,0.730000
mrr,MRR,0.592833
context_precision,Context Precision,0.746611
context_recall,Context Recall,0.906190
faithfulness,Faithfulness,0.470736
answer_relevancy,Answer Relevancy,0.654419
